,dataset,target,no_feat,no_rows,tr_RMSE,te_RMSE,model_class,model_complexity,k,d,l
138,used_cars,avgPrice,7,1770,12655.516091711075,12760.925965598975,xgboost,16,1,3,1
139,used_cars,avgPrice,7,1770,12724.690323207471,12836.854705973734,xgboost,16,1,3,10
140,used_cars,avgPrice,7,1770,12953.228043057674,13072.230883539414,xgboost,14,1,3,100
141,used_cars,avgPrice,7,1770,12613.838909025855,12761.264715061268,xgboost,48,1,5,1
142,used_cars,avgPrice,7,1770,12716.398007799833,12824.79524151027,xgboost,30,1,5,10
143,used_cars,avgPrice,7,1770,12952.827393611502,13078.957751669672,xgboost,18,1,5,100
144,used_cars,avgPrice,7,1770,10966.872766607466,11146.282374099483,xgboost,12,3,1,1
145,used_cars,avgPrice,7,1770,11011.368801747134,11189.276019162691,xgboost,12,3,1,10
146,used_cars,avgPrice,7,1770,11361.399486319182,11538.285020667056,xgboost,12,3,1,100
147,used_cars,avgPrice,7,1770,10501.561937003762,10630.021100220161,xgboost,48,3,3,1
148,used_cars,avgPrice,7,1770,10676.741711158433,10817.51834128338,xgboost,46,3,3,10
149,used_cars,avgPrice,7,1770,11263.814838653076,11433.38930536098,xgboost,44,3,3,100
150,used_cars,avgPrice,7,1770,10374.032280996109,10581.81515310625,xgboost,146,3,5,1
151,used_cars,avgPrice,7,1770,10647.410081948039,10805.50605679598,xgboost,98,3,5,10
152,used_cars,avgPrice,7,1770,11262.730398925587,11441.196466688798,xgboost,58,3,5,100
153,used_cars,avgPrice,7,1770,7027.233294689259,7285.757564677298,xgboost,40,10,1,1
154,used_cars,avgPrice,7,1770,7105.723006874529,7369.7682990211515,xgboost,40,10,1,10
155,used_cars,avgPrice,7,1770,7718.541845013448,8038.384029976933,xgboost,40,10,1,100
156,used_cars,avgPrice,7,1770,5635.602090166435,5748.175256004597,xgboost,160,10,3,1
157,used_cars,avgPrice,7,1770,6069.179703261315,6297.876866270093,xgboost,150,10,3,10
158,used_cars,avgPrice,7,1770,7326.910185187419,7679.835766964936,xgboost,152,10,3,100
159,used_cars,avgPrice,7,1770,5343.442406172468,5595.822205376515,xgboost,506,10,5,1
160,used_cars,avgPrice,7,1770,5965.1885382434375,6217.342513039703,xgboost,370,10,5,10
161,used_cars,avgPrice,7,1770,7318.2775011785925,7680.322473993935,xgboost,220,10,5,100
162,wages_demographics,earn,9,1379,43280.67591186578,39209.323630337545,xgboost,4,1,1,1
163,wages_demographics,earn,9,1379,43326.51490249171,39259.486420439294,xgboost,4,1,1,10
164,wages_demographics,earn,9,1379,43663.17382328724,39662.55815535301,xgboost,4,1,1,100
165,wages_demographics,earn,9,1379,42842.95070569192,38692.9670076,xgboost,16,1,3,1
166,wages_demographics,earn,9,1379,43068.15579517318,38946.19670685646,xgboost,16,1,3,10
167,wages_demographics,earn,9,1379,43640.180036859776,39652.884876377895,xgboost,12,1,3,100
168,wages_demographics,earn,9,1379,42723.91112995853,38609.835362322585,xgboost,52,1,5,1
